2024-10-28 21:11:13,日用百货,罗森（软件园腾飞二期店）,mar***@dllawson.com,LAWSON支付宝软件园腾飞二期店消费,支出,23.80,余额宝,交易成功,2024102823001472631406254704	,595267366088	,,
2024-10-28 20:24:44,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1124102820200254302929000544,支出,19.50,余额宝,交易成功,2024102822001472631404247580	,XP1124102820200254302929000544	,,
2024-10-28 18:15:00,餐饮美食,桃小源米线（腾飞店）,/,桃小源过桥米线（腾飞店）订单,支出,25.00,余额宝,交易成功,2024102822001472631403445009	,66126600004836000083620241028713677722	,,
2024-10-28 18:13:53,餐饮美食,桃小源米线（腾飞店）,/,桃小源过桥米线（腾飞店）订单,不计收支,25.00,,交易关闭,2024102822001472631404577727	,79126600004836000083620241028713650832	,,
2024-10-28 12:20:34,日用百货,便利森便利店,823***@qq.com,商品,支出,3.50,余额宝,交易成功,2024102822001472631403454218	,HMDF4AS2203170158471730089233128247	,,
2024-10-28 11:57:33,餐饮美食,鹏成餐饮管理,/,焦小胖水煮鱼烤肉饭,支出,16.00,余额宝,交易成功,2024102823001472631404888163	,381266000048290000J2024102811573302601731692185N	,,
2024-10-28 07:06:57,餐饮美食,大连腾飞软件园餐厅,yhm***@acasia.com.cn,百乐汇厨房-扫码付-YY0015001501-241028-00130706(001),支出,13.50,余额宝,交易成功,2024102823001472631459642192	,08980605202711025047772551790637	,,
2024-10-28 07:02:43,餐饮美食,美团,zxp***@meituan.com,库迪咖啡-美团App-24102811100400001302518832222886,支出,6.90,余额宝,交易成功,2024102822001472631404883070	,20241028070236U44749706896599666	,,
2024-10-28 04:06:39,投资理财,建信基金管理有限公司,/,余额宝-2024.10.27-收益发放,不计收支,0.04,余额宝,交易成功,20241028354320065631	,	,,
2024-10-27 17:38:35,餐饮美食,广州**司,ysx***@service.aliyun.com,东古一品鲜酱油黄豆酿造特级生抽家用调味品1L*2瓶/组,支出,23.70,余额宝,交易成功,2024102722001172631400744749	,T200P2344905156388652554	,,
2024-10-27 17:21:32,日用百货,望月圆超市,/,望月圆生活超市-2024102717214152583092156804,支出,17.40,余额宝,交易成功,2024102723001472631459344706	,2312660000489000001001035031524301	,,
2024-10-27 15:55:15,餐饮美食,大连市鹏鹏每日生鲜店,/,大连市鹏鹏每日生鲜店,支出,10.00,余额宝,交易成功,2024102723001472631458495772	,301266000048180000T695134691730044513B7	,,
2024-10-27 15:54:15,餐饮美食,大连市鹏鹏每日生鲜店,/,大连市鹏鹏每日生鲜店,支出,7.50,余额宝,交易成功,2024102723001472631456476267	,011266000048180000T69513469173004445464	,,
2024-10-27 11:33:42,日用百货,望月圆超市,/,望月圆生活超市-2024102711334649083092154157,支出,7.80,余额宝,交易成功,2024102723001472631455905835	,1212660000489000001000488231524301	,,
2024-10-27 04:02:15,投资理财,建信基金管理有限公司,/,余额宝-2024.10.26-收益发放,不计收支,0.04,余额宝,交易成功,20241027346054620631	,	,,
2024-10-26 12:55:13,餐饮美食,美团,zxp***@meituan.com,库迪咖啡-美团App-24102611100400001302216709510886,支出,6.90,余额宝,交易成功,2024102622001472631450362991	,20241026125506U84180932158180432	,,
2024-10-26 04:18:46,投资理财,建信基金管理有限公司,/,余额宝-2024.10.25-收益发放,不计收支,0.04,余额宝,交易成功,20241026334532954631	,	,,
2024-10-25 07:12:34,餐饮美食,大连腾飞软件园餐厅,yhm***@acasia.com.cn,百乐汇厨房-扫码付-YY0015001501-241025-00200712(001),支出,11.50,余额宝,交易成功,2024102523001472631438798071	,08980605202711022876278241443873	,,
2024-10-25 07:02:40,餐饮美食,美团,zxp***@meituan.com,库迪咖啡-美团App-24102511100400001301997149796886,支出,6.80,余额宝,交易成功,2024102522001472631443199394	,20241025070234U73066972324707270	,,
2024-10-25 04:01:12,投资理财,建信基金管理有限公司,/,余额宝-2024.10.24-收益发放,不计收支,0.04,余额宝,交易成功,20241025333788128631	,	,,
2024-10-24 20:34:11,母婴亲子,天猫**店,tmg***@service.aliyun.com,a2升级婴幼儿奶粉3段1岁以上900g*6罐,不计收支,1236.20,,交易关闭,2024102422001172631436222330	,T2700P2341896889994652554	,,
2024-10-24 20:18:19,母婴亲子,天猫**营,zym***@service.aliyun.com,【自营】好奇小森林心钻纸尿裤试用装NB4/S4/M4/L4片超薄透气,支出,1.48,余额宝,交易成功,2024102422001172631439982687	,T200P2341181175963652554	,,
2024-10-24 18:51:06,日用百货,望月圆超市,/,望月圆生活超市-2024102418512101483092152758,支出,7.50,余额宝,交易成功,2024102423001472631438663850	,6312660000489000001001020531524298	,,
2024-10-24 07:08:46,餐饮美食,大连腾飞软件园餐厅,yhm***@acasia.com.cn,百乐汇厨房-扫码付-YY0015001501-241024-00130707(001),支出,12.50,余额宝,交易成功,2024102423001472631430260110	,08980605202711022149587098290244	,,
2024-10-24 07:04:07,餐饮美食,美团,zxp***@meituan.com,库迪咖啡-美团App-24102411100400001301843586874886,支出,6.80,余额宝,交易成功,2024102422001472631429453033	,20241024070359U52747395236552384	,,
2024-10-24 04:03:13,投资理财,建信基金管理有限公司,/,余额宝-2024.10.23-收益发放,不计收支,0.04,余额宝,交易成功,20241024326850746631	,	,,
2024-10-23 12:17:39,日用百货,便利森便利店,823***@qq.com,商品,支出,7.00,余额宝,交易成功,2024102322001472631430277298	,HMDF4AS2203170158471729657058268400	,,
2024-10-23 07:12:23,餐饮美食,美团,zxp***@meituan.com,美团订单-24102311100400001301687567418886,支出,6.70,余额宝,交易成功,2024102322001472631422930276	,20241023071216U49814630031761689	,,
2024-10-23 07:08:09,餐饮美食,大连腾飞软件园餐厅,yhm***@acasia.com.cn,百乐汇厨房-扫码付-YY0015001501-241023-00150707(001),支出,11.50,余额宝,交易成功,2024102323001472631423297567	,08980605202711021424504159488094	,,
2024-10-23 04:02:24,投资理财,建信基金管理有限公司,/,余额宝-2024.10.22-收益发放,不计收支,0.04,余额宝,交易成功,20241023320412213631	,	,,
2024-10-22 17:20:20,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP2324102217201079441793008098,支出,32.90,余额宝,交易成功,2024102222001472631422990357	,XP2324102217201079441793008098	,,
2024-10-22 12:28:24,日用百货,罗森（软件园腾飞二期店）,mar***@dllawson.com,LAWSON支付宝软件园腾飞二期店消费,支出,6.00,余额宝,交易成功,2024102223001472631424115849	,593416061288	,,
2024-10-22 12:02:59,餐饮美食,大连腾飞软件园餐厅,yhm***@acasia.com.cn,百乐汇厨房-扫码付-YY0015001505-241022-01391202(001),支出,24.00,余额宝,交易成功,2024102223001472631417968552	,08980605202711020848121661384717	,,
2024-10-22 07:09:11,餐饮美食,大连腾飞软件园餐厅,yhm***@acasia.com.cn,百乐汇厨房-扫码付-YY0015001501-241022-00210708(001),支出,11.50,余额宝,交易成功,2024102223001472631417007934	,08980605202711020700243588919362	,,
2024-10-22 05:43:40,投资理财,建信基金管理有限公司,/,余额宝-2024.10.21-收益发放,不计收支,0.04,余额宝,交易成功,20241022314265697631	,	,,
2024-10-21 12:24:17,日用百货,便利森便利店,823***@qq.com,商品,支出,4.00,余额宝,交易成功,2024102122001472631414885948	,HMDF4AS2203170158471729484656324709	,,
2024-10-21 12:01:38,餐饮美食,悦来家常菜,139******91,收钱码收款,支出,16.00,余额宝,交易成功,2024102122001472631415873447	,17294832982612733972639	,,
2024-10-21 07:38:37,日用百货,拼多多平台商户,pdd***@yiran.com,退款-商户单号XP1324102107201983361016004494,不计收支,41.92,余额宝,退款成功,2024102122001472631408825065_RM0024102107201221758031004494	,XP1324102107201983361016004494	,,
2024-10-21 07:35:03,日用百货,拼多多平台商户,pdd***@yiran.com,退款-商户单号XP1924102107201983294421000104,不计收支,69.80,余额宝,退款成功,2024102122001472631408656858_RM0024102107201220954341000104	,XP1924102107201983294421000104	,,
2024-10-21 07:34:40,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1324102107201983361016004494,支出,41.92,余额宝,交易关闭,2024102122001472631408825065	,XP1324102107201983361016004494	,,
2024-10-21 07:30:02,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1924102107201983294421000104,支出,69.80,余额宝,交易关闭,2024102122001472631408656858	,XP1924102107201983294421000104	,,
2024-10-21 07:05:51,餐饮美食,大连腾飞软件园餐厅,yhm***@acasia.com.cn,百乐汇厨房-扫码付-YY0015001501-241021-00150705(001),支出,10.50,余额宝,交易成功,2024102123001472631409453459	,08980605202711019973793516410968	,,
2024-10-21 03:53:42,投资理财,建信基金管理有限公司,/,余额宝-2024.10.20-收益发放,不计收支,0.05,余额宝,交易成功,20241021307205286631	,	,,
2024-10-20 20:25:30,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1124102020200761327938000136,支出,46.90,余额宝,交易成功,2024102022001472631409266510	,XP1124102020200761327938000136	,,
2024-10-20 20:05:16,母婴亲子,hu**店,hug***@leqee.com,好奇小森林心钻装纸尿裤拉拉裤NB-XL4片派样装尺码任选,支出,4.90,余额宝,交易成功,2024102022001172631409844368	,T200P2333166026222652554	,,
2024-10-20 20:03:56,母婴亲子,hu**店,hug***@leqee.com,好奇皇家小龙裤纸尿裤拉拉裤S/M/L/XL码4片派样装尺码任选,支出,3.99,余额宝,交易成功,2024102022001172631409995127	,T200P2332872771084652554	,,
2024-10-20 16:09:35,餐饮美食,口碑,gdc***@service.aliyun.com,【爆款】库迪咖啡全场饮品任选券,支出,15.00,余额宝,交易成功,2024102022001172631409242946	,13160600724102016412558389135	,,
2024-10-20 09:05:39,日用百货,大连罗森便利店有限公司,mar***@dllawson.com,LAWSON支付宝沙区东方星海店消费,支出,5.80,余额宝,交易成功,2024102023001472631404111742	,592806214688	,,
2024-10-20 03:45:35,投资理财,建信基金管理有限公司,/,余额宝-2024.10.19-收益发放,不计收支,0.05,余额宝,交易成功,20241020394984606631	,	,,
2024-10-19 19:35:56,日用百货,望月圆超市,/,望月圆生活超市-2024101919362247183092155014,支出,27.50,余额宝,交易成功,2024101923001472631403270810	,6412660000489000001001100631524293	,,
2024-10-19 16:37:01,爱车养车,中国石油辽宁大连东岗加油站,/,中国石油辽宁大连东岗加油站,支出,305.00,余额宝,交易成功,2024101923001472631404090328	,372017092208872157340004140233001022410190900609	,,
2024-10-19 04:01:23,投资理财,建信基金管理有限公司,/,余额宝-2024.10.18-收益发放,不计收支,0.06,余额宝,交易成功,20241019393151058631	,	,,
2024-10-18 20:52:38,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1424101820201839086168006179,支出,5.86,余额宝,交易成功,2024101822001472631454286331	,XP1424101820201839086168006179	,,
2024-10-18 20:50:36,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP2024101820201839019121005726,支出,4.66,余额宝,交易成功,2024101822001472631454574099	,XP2024101820201839019121005726	,,
2024-10-18 12:23:20,日用百货,hank,180******80,支付码:372319 多乐之日大连腾飞软件园店(7426966536369236588),支出,56.40,余额宝,交易成功,2024101823001472631451418891	,OP7426966536335669868	,,
2024-10-18 12:00:13,餐饮美食,鹏成餐饮管理,/,周记熏肉大饼,支出,17.00,余额宝,交易成功,2024101823001472631446602012	,151266000048290000J2024101812001302474589860762N	,,
2024-10-18 07:17:22,餐饮美食,美团,zxp***@meituan.com,美团订单-24101811100300001300825046720549,支出,6.80,余额宝,交易成功,2024101822001472631443913802	,20241018071713U42449105306967060	,,
2024-10-18 07:12:45,餐饮美食,大连腾飞软件园餐厅,yhm***@acasia.com.cn,百乐汇厨房-扫码付-YY0015001501-241018-00280712(001),支出,11.00,余额宝,交易成功,2024101823001472631447522073	,08980605202711017802940942936160	,,
2024-10-18 03:23:15,投资理财,建信基金管理有限公司,/,余额宝-2024.10.17-收益发放,不计收支,0.07,余额宝,交易成功,20241018386169588631	,	,,
2024-10-17 18:41:21,日用百货,hank,180******80,支付码:314121 多乐之日大连腾飞软件园店(7426692869953423980),支出,51.50,余额宝,交易成功,2024101723001472631439035419	,OP7426692869609499244	,,
2024-10-17 14:55:01,餐饮美食,美团,zxp***@meituan.com,美团订单-24101711100300001300737352908549,支出,6.80,余额宝,交易成功,2024101722001472631441716342	,20241017145449U70597866373720350	,,
2024-10-17 12:00:20,餐饮美食,鹏成餐饮管理,/,岳记山陕老碗,支出,21.00,余额宝,交易成功,2024101723001472631439446029	,751266000048290000J2024101712002002093665012571N	,,
2024-10-17 07:09:23,餐饮美食,大连腾飞软件园餐厅,yhm***@acasia.com.cn,百乐汇厨房-扫码付-YY0015001501-241017-00250707(001),支出,11.50,余额宝,交易成功,2024101723001472631432210806	,08980605202711017076464447105117	,,
2024-10-17 07:05:20,餐饮美食,口碑,gdc***@service.aliyun.com,【爆款】库迪咖啡全场饮品任选券,支出,7.50,余额宝,交易成功,2024101722001172631432951635	,13070600724101766482835389135	,,
2024-10-17 04:14:17,投资理财,建信基金管理有限公司,/,余额宝-2024.10.16-收益发放,不计收支,0.07,余额宝,交易成功,20241017380571601631	,	,,
2024-10-16 16:56:25,日用百货,罗森（软件园腾飞二期店）,mar***@dllawson.com,LAWSON支付宝软件园腾飞二期店消费,支出,8.20,余额宝,交易成功,2024101623001472631431464985	,591754498188	,,
2024-10-16 11:57:51,餐饮美食,张亮麻辣烫,/,高新区王记张亮麻辣烫小吃店（个体工商户）231472,支出,31.60,余额宝,交易成功,2024101623001472631432356533	,491266000048180000155306877922124101611575160306	,,
2024-10-16 07:09:12,餐饮美食,大连腾飞软件园餐厅,yhm***@acasia.com.cn,百乐汇厨房-扫码付-YY0015001501-241016-00180706(001),支出,11.50,余额宝,交易成功,2024101623001472631424720624	,08980605202711016351597129082937	,,
2024-10-16 05:46:33,投资理财,建信基金管理有限公司,/,余额宝-2024.10.15-收益发放,不计收支,0.08,余额宝,交易成功,20241016368637947631	,	,,
2024-10-15 12:26:51,日用百货,罗森（软件园腾飞二期店）,mar***@dllawson.com,LAWSON支付宝软件园腾飞二期店消费,支出,6.50,余额宝,交易成功,2024101523001472631424715757	,591375048388	,,
2024-10-15 07:08:33,餐饮美食,大连腾飞软件园餐厅,yhm***@acasia.com.cn,百乐汇厨房-扫码付-YY0015001501-241015-00250707(001),支出,10.50,余额宝,交易成功,2024101523001472631417493205	,08980605202711015626495961579607	,,
2024-10-15 07:04:31,餐饮美食,口碑,gdc***@service.aliyun.com,【爆款】库迪咖啡全场饮品任选券,支出,15.00,余额宝,交易成功,2024101522001172631416998335	,13070600724101545028215389135	,,
2024-10-15 03:53:31,投资理财,建信基金管理有限公司,/,余额宝-2024.10.14-收益发放,不计收支,0.08,余额宝,交易成功,20241015361047392631	,	,,
2024-10-14 19:48:03,日用百货,罗森（软件园腾飞二期店）,mar***@dllawson.com,LAWSON支付宝软件园腾飞二期店消费,支出,15.80,余额宝,交易成功,2024101423001472631418590712	,591198780688	,,
2024-10-14 12:21:48,保险,中国大地财产保险股份有限公司,/,保险承保-宠物医保|24091337160374010199|期数|202410|续期交易付款,支出,21.58,余额宝,交易成功,20241014102553010572630015466085	,202410141100300701990978316476	,,
2024-10-14 07:06:52,餐饮美食,大连腾飞软件园餐厅,yhm***@acasia.com.cn,百乐汇厨房-扫码付-YY0015001501-241014-00220706(001),支出,11.00,余额宝,交易成功,2024101423001472631409758550	,08980605202711014900876948783145	,,
2024-10-14 06:56:14,餐饮美食,口碑,gdc***@service.aliyun.com,【爆款】库迪咖啡全场饮品任选券,支出,15.00,余额宝,交易成功,2024101422001172631410111597	,13060600724101443440036389135	,,
2024-10-14 03:51:20,投资理财,建信基金管理有限公司,/,余额宝-2024.10.13-收益发放,不计收支,0.08,余额宝,交易成功,20241014348742681631	,	,,
2024-10-13 15:53:03,餐饮美食,大连市蚂蚁生鲜,/,蚂蚁生鲜豆制品店内购物,支出,20.08,余额宝,交易成功,2024101323001472631410245393	,31P2088521461085192W03_2024101330000006923622140310100	,,
2024-10-13 15:49:44,餐饮美食,大连市蚂蚁生鲜,/,蚂蚁生鲜面食店内购物,支出,7.90,余额宝,交易成功,2024101323001472631410384051	,11P2088521461085192W03_2024101340000009446425970110804	,,
2024-10-13 15:49:13,餐饮美食,大连市蚂蚁生鲜,/,蚂蚁生鲜面食店内购物,支出,4.50,余额宝,交易成功,2024101323001472631410090350	,11P2088521461085192W03_2024101330000006923091980110404	,,
2024-10-13 08:21:07,餐饮美食,tb**5,159******79,KFC肯德基早餐券优惠券全国通用鸡肉帕尼尼皮蛋瘦肉粥雪菜粥代下,不计收支,15.10,亲情卡(老婆(刘丞)),交易成功,2024101322001172631405483957	,T200P2323372191816652554	,,
2024-10-13 08:19:23,餐饮美食,tb**5,159******79,KFC肯德基早餐券优惠券全国通用鸡肉帕尼尼皮蛋瘦肉粥雪菜粥代下,支出,11.60,余额宝,交易成功,2024101322001172631404986926	,T200P2323376184547652554	,,
2024-10-13 08:17:46,餐饮美食,tb**5,159******79,KFC肯德基早餐券优惠券全国通用鸡肉帕尼尼皮蛋瘦肉粥雪菜粥代下,不计收支,15.10,亲情卡(老婆(刘丞)),交易成功,2024101322001172631402705959	,T200P2323369527835652554	,,
2024-10-13 03:54:35,投资理财,建信基金管理有限公司,/,余额宝-2024.10.12-收益发放,不计收支,0.08,余额宝,交易成功,20241013347562727631	,	,,
2024-10-12 13:54:43,日用百货,罗森（黄泥川金槐楼店）,mar***@dllawson.com,LAWSON支付宝黄泥川金槐楼店消费,支出,23.80,余额宝,交易成功,2024101223001472631402171686	,590514718988	,,
2024-10-12 11:20:18,文化休闲,大连海昌发现王国主题公园有限公司,/,大连海昌发现王国主题公园有限公司,支出,39.00,余额宝,交易成功,2024101223001472631401380710	,131266000048210001241012117823748643	,,
2024-10-12 10:50:35,酒店旅游,大连海昌发现王国主题公园有限公司,/,二维码支付,支出,9.90,余额宝,交易成功,2024101223001472631453733126	,2412660000010500020000799618269691mcaOv	,,
2024-10-12 03:58:42,投资理财,建信基金管理有限公司,/,余额宝-2024.10.11-收益发放,不计收支,0.09,余额宝,交易成功,20241012334891757631	,	,,
2024-10-11 06:14:09,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1124101106201341376348004680,支出,2.90,余额宝,交易成功,2024101122001472631446859661	,XP1124101106201341376348004680	,,
2024-10-11 03:41:12,投资理财,建信基金管理有限公司,/,余额宝-2024.10.10-收益发放,不计收支,0.09,余额宝,交易成功,20241011328678462631	,	,,
2024-10-10 07:09:07,餐饮美食,口碑,gdc***@service.aliyun.com,【爆款】库迪咖啡全场饮品任选券,支出,15.00,余额宝,交易成功,2024101022001172631437115087	,13070600724101038496170389135	,,
2024-10-10 03:54:33,投资理财,建信基金管理有限公司,/,余额宝-2024.10.09-收益发放,不计收支,0.09,余额宝,交易成功,20241010321420651631	,	,,
2024-10-08 12:31:04,餐饮美食,口碑,gdc***@service.aliyun.com,【爆款】库迪咖啡全场饮品任选券,支出,13.80,余额宝,交易成功,2024100822001172631422917550	,13120600724100813992627389135	,,
2024-10-06 15:54:13,日用百货,拼多多平台商户,pdd***@yiran.com,退款-商户单号XP1924100211201803985179000619,不计收支,118.90,工商银行储蓄卡(1845),退款成功,2024100222001472631433816360_RM0024100615200103770998000619	,XP1924100211201803985179000619	,,
2024-10-06 15:37:38,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1424100615201034861804004644,支出,16.00,余额宝,交易成功,2024100622001472631412012501	,XP1424100615201034861804004644	,,
2024-10-06 09:51:00,投资理财,余额宝,xia***@ccbfund.cn,转账收款到余额宝,不计收支,2000.00,账户余额,交易成功,20241006019130125000630054039767	,20241006200040011100200026035032	,,
2024-10-06 09:50:51,转账红包,锴锋,401***@qq.com,祝小家玥周岁快乐～,收入,2000.00,账户余额,交易成功,20241006200040011100200026035032	,	,,
2024-10-05 08:19:26,餐饮美食,tb**5,159******79,KFC肯德基早餐券优惠券全国通用鸡肉帕尼尼皮蛋瘦肉粥雪菜粥代下,支出,11.60,工商银行储蓄卡(1845),交易成功,2024100522001172631456990165	,T200P2314738381826652554	,,
2024-10-05 08:03:44,餐饮美食,大连元初食品有限公司,/,大连元初食品有限公司,不计收支,381.60,亲情卡(老婆(刘丞)),交易成功,2024100523001472631454269165	,10126600004802000020241005080344111468965328	,,
2024-10-04 20:48:17,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1824100420200813521788001337,支出,13.67,工商银行储蓄卡(1845),交易成功,2024100422001472631456314126	,XP1824100420200813521788001337	,,
2024-10-04 19:28:27,日用百货,拼多多国际,pdd***@pinduoduo.com,商户单号XP1524100419201935521261005172,支出,106.40,工商银行储蓄卡(1845),交易成功,2024100422001372631457709616	,XP1524100419201935521261005172	,,
2024-10-03 18:20:34,生活服务,美团,it_***@meituan.com,美团订单-24100311100400001308400116540886,支出,31.00,工商银行储蓄卡(1845),交易成功,2024100322001472631449329261	,20241003182019U53416197202648008	,,
2024-10-03 07:23:58,餐饮美食,tb**5,159******79,KFC肯德基早餐券优惠券全国通用鸡肉帕尼尼皮蛋瘦肉粥雪菜粥代下,支出,11.00,工商银行储蓄卡(1845),交易成功,2024100322001172631444330595	,T200P2312407598512652554	,,
2024-10-03 07:21:50,餐饮美食,tb**5,159******79,KFC肯德基早餐券优惠券全国通用鸡肉帕尼尼皮蛋瘦肉粥雪菜粥代下,支出,10.30,工商银行储蓄卡(1845),交易成功,2024100322001172631441179883	,T200P2312068224089652554	,,
2024-10-02 11:31:50,日用百货,拼多多平台商户,pdd***@yiran.com,退款-商户单号XP1024100211201806089717006683,不计收支,150.92,工商银行储蓄卡(1845),退款成功,2024100222001472631432905559_RM0024100211200032858347006683	,XP1024100211201806089717006683	,,
2024-10-02 11:31:34,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1924100211201803985179000619,支出,118.90,工商银行储蓄卡(1845),交易关闭,2024100222001472631433816360	,XP1924100211201803985179000619	,,
2024-10-02 11:29:37,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1024100211201806089717006683,支出,150.92,工商银行储蓄卡(1845),交易关闭,2024100222001472631432905559	,XP1024100211201806089717006683	,,
